Date,ACB,AGR,CTC,CTG,EIB,HOM,MAS,MBB,SHB,STB
6/5/2022,31,13.8,6.8,27,29.6,9.1,41.5,28,15.5,25.5
6/6/2022,25.3,12.3,5.5,27.2,31.45,7.7,45,27.25,11,20.5
6/7/2022,24.2,9.8,4,25.85,32,6.8,39.6,24.9,10.5,22.5
6/9/2022,24.65,12.55,4.4,28.25,30.3,8,38.5,23.65,22.1,24.7
6/10/2022,20,8.82,3.1,21.4,36.95,7.2,36,18.1,23.1,18
6/12/2022,22.3,8.42,2.2,27,20.5,4.9,35.5,17.7,21.05,20.75
7/1/2022,33.3,25.1,9.8,33.2,33.4,9.1,44,28.6,20.65,31.95
7/2/2022,34.7,20.2,7.8,36.3,35.95,8,47,33.8,13.65,35.6
7/3/2022,33.25,21.5,9.4,32.15,33.35,9.3,52,32.2,13.45,31.5
7/4/2022,33.6,20.2,9.4,32.55,36.05,10.2,45,33.7,14.65,31.9
7/6/2022,24.95,12,5.4,27.4,30.5,7.6,45,26.95,10.35,20.2
7/7/2022,24.15,9.65,4,26.3,31.35,6.7,39,25.1,10.7,22.6
7/9/2022,24.3,11.8,4,27.35,30.35,8,38.5,23,10.45,24.35
7/10/2022,18.65,8.21,2.9,19.95,37.2,6.9,36,16.95,23.2,16.75
7/11/2022,20.65,6.92,1.5,23.35,30.4,5.6,36.6,16.95,20.95,15.5
7/12/2022,22.3,7.85,2.1,27.35,19.5,4.8,35.5,17.3,20,20.3
8/2/2022,35.75,20.25,8,36.5,35.7,8.2,47,33.8,14.6,35.85
8/3/2022,32.6,21.25,9.4,32.05,33.15,9,50,31,13.6,30.85
8/4/2022,33.85,19.75,8.9,32.05,35.1,10.3,44.9,33.2,15.15,31
8/6/2022,25.7,12.4,5.6,27.7,31.1,8,45,27.95,14,21.6
8/7/2022,24,10,4.2,25.9,31.15,6.9,39,25.05,11.15,22.5
8/8/2022,24.75,12.2,4.7,29,30.2,7.6,38,27.1,10.8,25.3
8/9/2022,24,11.6,4,26.85,30.65,7.9,36.5,22.8,24.1,23.9
8/11/2022,21.3,07.05,1.4,23.85,30,5.5,39.8,17.2,21,16.45
8/12/2022,22.65,8.39,2.3,27.8,20.85,4.8,35.5,18.1,14.5,21.7
9/2/2022,35.6,20.7,8.1,36.35,34.8,8.4,47,33.3,14.65,35.05
9/3/2022,32.7,21.2,9.4,32,34.75,8.9,47.5,30.75,15.2,31.1
9/5/2022,30.6,12.85,6.2,25.15,29.4,8.3,44.9,26.2,14.3,23.75
9/6/2022,25.75,12.8,5.4,27.7,30.35,7.9,44,27.8,11,22.3
9/8/2022,24.95,12.2,4.9,28.8,30.2,7.7,38,27.35,10.6,25.25
9/9/2022,24,11.6,4.1,26.85,30.6,7.9,37.5,22.7,21.3,23.75
9/11/2022,20.75,07.01,1.5,24.45,27.9,5.7,39.8,16.95,23.6,16.25
9/12/2022,23.05,8.4,2.2,28.05,22.3,5,35.5,18.2,21.05,22.4
10/1/2022,33,24,10.5,33.3,32.7,10,40.1,28.1,14.7,31.6
10/2/2022,35.55,20.6,8.1,36.75,35,8.3,47,33.75,14.3,34.75
10/3/2022,32.9,21.3,9.6,32.1,34.3,9.2,47.5,31.05,15,31.55
10/5/2022,30.8,13.5,6.7,25.2,29.4,8.1,40.5,27.05,10.1,23.9
10/6/2022,25.2,12.3,5.2,27.1,30.4,7.9,43.9,27.5,10.25,21.9
10/8/2022,24.85,12.1,5.3,28.45,30,7.6,38,27.2,21.05,24.9
10/10/2022,18.7,8.4,2.9,20.7,37.2,6.7,36,17.25,23.6,17
10/11/2022,20,6.52,1.6,22.75,25.95,5.2,39.8,15.8,21.05,15.15
11/1/2022,32.75,23.6,10,33,33.05,9.6,40.1,27.9,14.65,32.45
11/2/2022,35.7,20.6,7.9,36.8,35.8,8.3,47,33.95,13.35,35.3
11/3/2022,32.7,20.7,9.5,32.25,35.4,9.9,49.9,31.45,14.8,32.05
11/5/2022,31.6,13.35,6.7,26.7,31.45,8.2,40.5,27.5,9.4,23.55
11/7/2022,23.5,9.9,4.1,25.5,30.65,6.8,39,24.4,10,22.05
11/8/2022,24.75,11.95,5,28.5,30,7.4,36,26.8,22.2,25.2
